516: -17+20+1
517: -17+20+2
518: -17+20+3
519: -17+20+4
520: -17+19+0
521: -17+19+1
522: -17+19+2
523: -17+19+3
524: -17+19+4
525: -17+18+0
526: -17+18+1
527: -17+18+2
528: -17+18+3
529: -17+18+4
530: -17+17+0
531: -17+17+1
532: -17+17+2
533: -17+17+3
534: -17+17+4
535: -17+16+0
536: -17+16+1
537: -17+16+2
538: -17+16+3
539: -17+16+4
540: -17+15+0
541: -17+15+1
542: -17+15+2
543: -17+15+3
544: -17+15+4
545: -16+29+0
546: -16+29+1
547: -16+29+2
548: -16+29+3
549: -16+29+4
550: -16+28+0
551: -16+28+1
552: -16+28+2
553: -16+28+3
554: -16+28+4
555: -16+27+0
556: -16+27+1
557: -16+27+2
558: -16+27+3
559: -16+27+4
560: -16+26+0
561: -16+26+1
562: -16+26+2
563: -16+26+3
564: -16+26+4
565: -16+25+0
566: -16+25+1
567: -16+25+2
568: -16+25+3
569: -16+25+4
570: -16+24+0
571: -16+24+1
572: -16+24+2
573: -16+24+3
574: -16+24+4
575: -16+23+0
576: -16+23+1
577: -16+23+2
578: -16+23+3
579: -16+23+4
580: -16+22+0
581: -16+22+1
582: -16+22+2
583: -16+22+3
584: -16+22+4
585: -16+21+0
586: -16+21+1
587: -16+21+2
588: -16+21+3
589: -16+21+4
590: -16+20+0
591: -16+20+1
592: -16+20+2
593: -16+20+3
594: -16+20+4
595: -16+19+0
596: -16+19+1
597: -16+19+2
598: -16+19+3
599: -16+19+4
600: -16+18+0
601: -16+18+1
602: -16+18+2
603: -16+18+3
604: -16+18+4
605: -16+17+0
606: -16+17+1
607: -16+17+2
608: -16+17+3
609: -16+17+4
610: -16+16+0
611: -16+16+1
612: -16+16+2
613: -16+16+3
614: -16+16+4
615: -16+15+0
616: -16+15+1
617: -16+15+2
618: -16+15+3
619: -16+15+4
620: -16+14+0
621: -16+14+1
622: -16+14+2
623: -16+14+3
624: -16+14+4
625: -15+29+0
626: -15+29+1
627: -15+29+2
628: -15+29+3
629: -15+29+4
630: -15+28+0
631: -15+28+1
632: -15+28+2
633: -15+28+3
634: -15+28+4
635: -15+27+0
636: -15+27+1
637: -15+27+2
638: -15+27+3
639: -15+27+4
640: -15+26+0
641: -15+26+1
642: -15+26+2
643: -15+26+3
644: -15+26+4
645: -15+25+0
646: -15+25+1
647: -15+25+2
648: -15+25+3
649: -15+25+4
650: -15+24+0
651: -15+24+1
652: -15+24+2
653: -15+24+3
654: -15+24+4
655: -15+23+0
656: -15+23+1
657: -15+23+2
658: -15+23+3
659: -15+23+4
660: -15+22+0
661: -15+22+1
662: -15+22+2
663: -15+22+3
664: -15+22+4
665: -15+21+0
666: -15+21+1
667: -15+21+2
668: -15+21+3
669: -15+21+4
670: -15+20+0
671: -15+20+1
672: -15+20+2
673: -15+20+3
674: -15+20+4
675: -15+19+0
676: -15+19+1
677: -15+19+2
678: -15+19+3
679: -15+19+4
680: -15+18+0
681: -15+18+1
682: -15+18+2
683: -15+18+3
684: -15+18+4
685: -15+17+0
686: -15+17+1
687: -15+17+2
688: -15+17+3
689: -15+17+4
690: -15+16+0
691: -15+16+1
692: -15+16+2
693: -15+16+3
694: -15+16+4
695: -15+15+0
696: -15+15+1
697: -15+15+2
698: -15+15+3
699: -15+15+4
700: -15+14+0
701: -15+14+1
702: -15+14+2
703: -15+14+3
704: -15+14+4
705: -15+13+0
706: -15+13+1
707: -15+13+2
708: -15+13+3
709: -15+13+4
710: -14+29+0
711: -14+29+1
712: -14+29+2
713: -14+29+3
714: -14+29+4
715: -14+28+0
716: -14+28+1
717: -14+28+2
718: -14+28+3
719: -14+28+4
720: -14+27+0
721: -14+27+1
722: -14+27+2
723: -14+27+3
724: -14+27+4
725: -14+26+0
726: -14+26+1
727: -14+26+2
728: -14+26+3
729: -14+26+4
730: -14+25+0
731: -14+25+1
732: -14+25+2
733: -14+25+3
734: -14+25+4
735: -14+24+0
736: -14+24+1
737: -14+24+2
738: -14+24+3
739: -14+24+4
740: -14+23+0
741: -14+23+1
742: -14+23+2
743: -14+23+3
744: -14+23+4
745: -14+22+0
746: -14+22+1
747: -14+22+2
748: -14+22+3
749: -14+22+4
750: -14+21+0
751: -14+21+1
752: -14+21+2
753: -14+21+3
754: -14+21+4
755: -14+20+0
756: -14+20+1
757: -14+20+2
758: -14+20+3
759: -14+20+4
760: -14+19+0
761: -14+19+1
762: -14+19+2
763: -14+19+3
764: -14+19+4
765: -14+18+0
766: -14+18+1
767: -14+18+2
768: -14+18+3
769: -14+18+4
770: -14+17+0
771: -14+17+1
772: -14+17+2
773: -14+17+3
774: -14+17+4
775: -14+16+0
776: -14+16+1
777: -14+16+2
778: -14+16+3
779: -14+16+4
780: -14+15+0
781: -14+15+1
782: -14+15+2
783: -14+15+3
784: -14+15+4
785: -14+14+0
786: -14+14+1
787: -14+14+2
788: -14+14+3
789: -14+14+4
790: -14+13+0
791: -14+13+1
792: -14+13+2
793: -14+13+3
794: -14+13+4
795: -14+12+0
796: -14+12+1
797: -14+12+2
798: -14+12+3
799: -14+12+4
800: -13+29+0
801: -13+29+1
802: -13+29+2
803: -13+29+3
804: -13+29+4
805: -13+28+0
806: -13+28+1
807: -13+28+2
808: -13+28+3
809: -13+28+4
810: -13+27+0
811: -13+27+1
812: -13+27+2
813: -13+27+3
814: -13+27+4
815: -13+26+0
816: -13+26+1
817: -13+26+2
818: -13+26+3
819: -13+26+4
820: -13+25+0
821: -13+25+1
822: -13+25+2
823: -13+25+3
824: -13+25+4
825: -13+24+0
826: -13+24+1
827: -13+24+2
828: -13+24+3
829: -13+24+4
830: -13+23+0
831: -13+23+1
832: -13+23+2
833: -13+23+3
834: -13+23+4
835: -13+22+0
836: -13+22+1
837: -13+22+2
838: -13+22+3
839: -13+22+4
840: -13+21+0
841: -13+21+1
842: -13+21+2
843: -13+21+3
844: -13+21+4
845: -13+20+0
846: -13+20+1
847: -13+20+2
848: -13+20+3
849: -13+20+4
850: -13+19+0
851: -13+19+1
852: -13+19+2
853: -13+19+3
854: -13+19+4
855: -13+18+0
856: -13+18+1
857: -13+18+2
858: -13+18+3
859: -13+18+4
860: -13+17+0
861: -13+17+1
862: -13+17+2
863: -13+17+3
864: -13+17+4
865: -13+16+0
866: -13+16+1
867: -13+16+2
868: -13+16+3
869: -13+16+4
870: -13+15+0
871: -13+15+1
872: -13+15+2
873: -13+15+3
874: -13+15+4
875: -13+14+0
876: -13+14+1
877: -13+14+2
878: -13+14+3
879: -13+14+4
880: -13+13+0
881: -13+13+1
882: -13+13+2
883: -13+13+3
884: -13+13+4
885: -13+12+0
886: -13+12+1
887: -13+12+2
888: -13+12+3
889: -13+12+4
890: -13+11+0
891: -13+11+1
892: -13+11+2
893: -13+11+3
894: -13+11+4
895: -12+29+0
896: -12+29+1
897: -12+29+2
898: -12+29+3
899: -12+29+4
900: -12+28+0
901: -12+28+1
902: -12+28+2
903: -12+28+3
904: -12+28+4
905: -12+27+0
906: -12+27+1
907: -12+27+2
908: -12+27+3
909: -12+27+4
910: -12+26+0
911: -12+26+1
912: -12+26+2
913: -12+26+3
914: -12+26+4
915: -12+25+0
916: -12+25+1
917: -12+25+2
918: -12+25+3
919: -12+25+4
920: -12+24+0
921: -12+24+1
922: -12+24+2
923: -12+24+3
924: -12+24+4
925: -12+23+0
926: -12+23+1
927: -12+23+2
928: -12+23+3
929: -12+23+4
930: -12+22+0
931: -12+22+1
932: -12+22+2
933: -12+22+3
934: -12+22+4
